"","artist.hotttnesss","bars_start","beats_start","duration","end_of_fade_in","loudness","song.hotttnesss","start_of_fade_out","tatums_start","tempo","terms","time_signature"
"1",0.401997543,0.58521,0.58521,218.93179,0.247,-11.197,0.60211999,218.932,0.28519,92.198,"hip hop",4
"2",0.417499645,0.71054,0.20627,148.03546,0.148,-9.843,NA,137.915,0.20627,121.274,"blue-eyed soul",4
"3",0.343428378,0.73152,0.73152,177.47546,0.282,-9.689,NA,172.304,0.42132,100.07,"salsa",1
"4",0.454231157,1.30621,0.81002,233.40363,0,-9.013,NA,217.124,0.56254,119.293,"pop rock",4
"5",0.401723686,1.06368,0.13576,209.60608,0.066,-4.501,0.604500739,198.699,0.13576,129.738,"pop punk",4
"6",0.385470551,1.17118,0.74856,267.7024,2.264,-9.323,NA,254.27,0.53929,147.782,"southern gospel",3
"7",0.261941177,0.27253,0.27253,114.78159,0.096,-17.302,NA,114.782,0.05611,111.787,"breakbeat",1
"8",0.605507136,0.65428,0.65428,189.57016,0.319,-11.642,NA,181.023,0.36129,101.43,"post-hardcore",3
"9",0.332275747,1.91886,1.22595,269.81832,5.3,-13.496,0.265861049,258.99,1.22595,86.643,"new wave",4
"10",0.422705641,0.62445,0.09933,266.39628,0.084,-6.697,NA,261.747,0.09933,114.041,"breakcore",4
"11",0.296268954,0.11194,0.11194,218.77506,2.125,-10.021,0,207.012,0.11194,146.765,"alternative rock",1
"12",0.351555861,1.45439,0.42896,245.21098,0.357,-7.545,0.265861049,227.48,0.1727,117.975,"ccm",4
"13",0.37948217,1.2229,0.29639,226.35057,0,-6.632,0,221.553,0.06508,130.04,"bachata",4
"14",0.251936525,0.46223,0.46223,191.84281,0.38,-7.75,0,188.424,0.23506,137.334,"chanson",1
"15",0.553071992,0.82842,0.82842,307.3824,0.612,-8.346,NA,296.658,0.58901,125.197,"quiet storm",3
"16",0.447935481,1.32118,0.30065,491.12771,0,-8.576,0.405115722,486.034,0.05047,119.826,"country rock",4
"17",0.330806357,1.19076,0.24795,228.5971,0.223,-16.11,0.334706549,217.426,0.08584,127.756,"chill-out",5
"18",0.306676094,0.90668,0.27615,599.24853,1.193,-8.032,NA,591.999,0.12168,99.273,"qawwali",4
"19",0.51346329,0.8752,0.05728,290.29832,0.145,-5.271,0.684136191,285.605,0.05728,150.062,"hard rock",4
"20",0,0.66829,0.22335,165.69424,0.162,-6.787,0,157.391,0.22335,138.331,"indietronica",4
"21",0.291539727,0.12236,0.12236,151.84934,2.827,-15.221,NA,146.199,0.12236,86.186,"classic country",3
"22",0.328553015,0.46253,0.46253,220.78649,0.206,-8.514,0,207.656,0.16228,110.382,"electric blues",1
"23",0.378254686,1.06937,0.51434,269.58322,0,-8.05,0.313562114,256.168,0.51434,111.874,"uk garage",4
"24",0.541888972,1.06698,0.33578,207.77751,0.061,-4.264,0.666527846,204.696,0.15349,166.862,"math-core",4
"25",0.306242264,0.70311,0.26706,124.86485,0,-12.332,0.495293621,115.74,0.04025,137.522,"pop rock",4
"26",0.363651365,0.08901,0.08901,225.09669,0,-5.908,0.375984302,225.097,0.08901,164.672,"post-grunge",1
"27",0.422705641,0.93643,0.45716,338.31138,0,-6.486,NA,338.311,0.21693,125.006,"breakcore",4
"28",0.349912612,0.52648,0.52648,186.48771,1.083,-4.516,NA,175.467,0.07391,90.022,"filk",1
"29",0.379671125,1.01964,0.06314,168.25424,0.2,-9.616,NA,161.89,0.06314,127.025,"latin jazz",4
"30",0.299230368,0.97531,0.3393,156.39465,0.562,-18.051,0,150.634,0.3393,95.957,"jump blues",3
"31",0.416173065,0.96908,0.42073,342.56934,0.063,-11.939,0.413739836,333.154,0.13836,110.189,"soul jazz",3
"32",0.452789477,0.56075,0.56075,484.62322,28.172,-15.335,0.377531645,480.363,0.56075,138.007,"disco",4
"33",0.418216518,0.10131,0.10131,164.80608,0,-10.922,0.443291312,156.177,0.10131,130.1,"doo-wop",1
"34",0.384611084,0.24118,0.24118,133.32853,0,-9.983,0,130.009,0.04851,160.839,"classic country",1
"35",0.426317956,0.40866,0.40866,173.66159,0,-7.762,NA,164.908,0.05133,41.993,"rap",1
"36",0.392733676,0.76895,0.09309,313.12934,0,-9.512,NA,307.688,0.09309,189.646,"charanga",3
"37",0.488019842,0.2438,0.2438,450.84689,0.467,-9.063,0.593943076,426.104,0.09307,130.586,"noise rock",4
"38",0.41168896,0.10104,0.10104,303.09832,0.067,-8.879,NA,294.818,0.10104,128.292,"dance pop",4
"39",0.382651971,0.77461,0.77461,128.83546,0,-17.699,0.394394856,121.423,0.77461,90.932,"orchestra",3
"40",0.294861262,0.92047,0.23284,456.30649,0.241,-19.478,0,451.315,0.06094,89.667,"cool jazz",4
"41",0.393121934,0.73465,0.28881,198.73914,0,-7.469,0.450992312,193.016,0.14044,115.061,"gothic metal",4
